dfo_centroid_y,dfo_main_cause,gfd_country_name,dfo_centroid_x,glide_index,slope_threshold,dfo_severity,system:footprint,threshold_b1b2,dfo_displaced,id,cc,dfo_validation_type,composite_type,system:time_end,dfo_country,countries,dfo_other_country,system:time_start,dfo_dead,gfd_country_code,threshold_type,threshold_b7,system:asset_size,system:index,otsu_sample_res,Start_Date,End_Date,Duration_Days
14.211698,Heavy rain,"['MAURITANIA', 'ALGERIA', 'MALI', 'BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'GUINEA', 'SIERRA LEONE', 'BENIN', 'NIGERIA', 'NIGER', 'In dispute BENIN/BURKINA FASO']",-3.10202,NA,5,1.0,,0.7,10000,2320,"MLI, MRT, DZA, GIN, BFA, CIV, GHA, NGA, NER, TGO, BEN",News,3Day,1066521600000,Mali,"Mali, Mauritania, Algeria, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Niger, Togo, Benin",NA,1060473600000,31,"['MR', 'AG', 'ML', 'UV', 'TO', 'GH', 'IV', 'GV', 'SL', 'BN', 'NI', 'NG', 'UU']",standard,675.0,33272798,DFO_2320_From_20030810_to_20031019,,2003-08-10,2003-10-19,70
6.148203,Heavy rain,"['TOGO', 'GHANA', 'BENIN', 'NIGERIA']",1.223784,NA,5,2.0,,0.852,300,2576,"GHA, NGA, TGO, BEN",News,3Day,1099526400000,Togo,"Ghana, Nigeria, Togo, Benin",NA,1097107200000,0,"['TO', 'GH', 'BN', 'NI']",otsu,631.55,2685194,DFO_2576_From_20041007_to_20041104,231.66,2004-10-07,2004-11-04,28
14.421787,Heavy rain,"['MAURITANIA', 'ALGERIA', 'MALI', 'BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'GUINEA', 'SIERRA LEONE', 'BENIN', 'NIGERIA', 'CAMEROON', 'CHAD', 'NIGER', 'LIBYA', 'In dispute BENIN/BURKINA FASO']",-1.02134,FL-2006-000120-BFA,5,1.0,,0.7,70000,2947,"MLI, MRT, DZA, TCD, GIN, BFA, CIV, GHA, NGA, CMR, NER, TGO, BEN",News,3Day,1160524800000,Burkina Faso,"Mali, Mauritania, Algeria, Chad, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",Niger,1154563200000,4,"['MR', 'AG', 'ML', 'UV', 'TO', 'GH', 'IV', 'GV', 'SL', 'BN', 'NI', 'CM', 'CD', 'NG', 'LY', 'UU']",standard,675.0,49175985,DFO_2947_From_20060803_to_20061011,,2006-08-03,2006-10-11,69
13.037658,Heavy rain,"['MAURITANIA', 'ALGERIA', 'MALI', 'BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'GUINEA', 'SIERRA LEONE', 'BENIN', 'NIGERIA', 'CAMEROON', 'CHAD', 'NIGER', 'In dispute BENIN/BURKINA FASO']",0.612005,FL-2007-000132-BFA,5,1.5,,0.7,540000,3166,"MLI, TCD, GIN, BFA, CIV, GHA, NGA, CMR, NER, TGO, BEN",News,3Day,1191974400000,Ghana,"Mali, Chad, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",,1185408000000,153,"['MR', 'AG', 'ML', 'UV', 'TO', 'GH', 'IV', 'GV', 'SL', 'BN', 'NI', 'CM', 'CD', 'NG', 'UU']",standard,675.0,39504930,DFO_3166_From_20070726_to_20071010,,2007-07-26,2007-10-10,76
10.292106,Heavy rain,"['TOGO', 'GHANA', 'BENIN', 'NIGERIA', 'CAMEROON', 'CHAD', 'NIGER']",11.74837,FL-2007-000123-NGA,5,1.0,,0.7,140000,3151,"TCD, GHA, NGA, CMR, NER, TGO, BEN",News,3Day,1192924800000,Nigeria,"Chad, Ghana, Nigeria, Cameroon, Niger, Togo, Benin",NA,1186185600000,101,"['TO', 'GH', 'BN', 'NI', 'CM', 'CD', 'NG']",standard,675.0,19615837,DFO_3151_From_20070804_to_20071021,,2007-08-04,2007-10-21,78
16.454005,Heavy Rain,"['Western Sahara', 'MAURITANIA', 'MOROCCO', 'ALGERIA', 'MALI', 'BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'GUINEA', 'SENEGAL', 'THE GAMBIA', 'GUINEA-BISSAU', 'SIERRA LEONE', 'LIBERIA', 'BENIN', 'NIGERIA', 'CAMEROON', 'CHAD', 'NIGER', 'SUDAN', 'LIBYA', 'In dispute BENIN/BURKINA FASO']",2.936762,NA,5,1.0,,0.7,300000,3534,"MLI, MRT, TCD, ESH, GIN, BFA, CIV, GHA, NGA, CMR, NER, SEN, LBR, TGO, BEN, GNB, GMB, SLE",0,3Day,1251849600000,Mauritania,"Mali, Mauritania, Chad, Western Sahara, Guinea, Burkina Faso, Ivory Coast, Ghana, Nigeria, Cameroon, Niger, Senegal, Liberia, Togo, Benin, Guinea-Bissau, Gambia, The, Sierra Leone",NA,1249862400000,12,"['WI', 'MR', 'MO', 'AG', 'ML', 'UV', 'TO', 'GH', 'IV', 'GV', 'SG', 'GA', 'PU', 'SL', 'LI', 'BN', 'NI', 'CM', 'CD', 'NG', 'SU', 'LY', 'UU']",standard,675.0,75387037,DFO_3534_From_20090810_to_20090902,,2009-08-10,2009-09-02,23
5.543563,Heavy Rain,"['TOGO', 'GHANA', 'BENIN', 'NIGERIA', 'CAMEROON']",6.509699,NA,5,1.0,,0.7,5000,3555,"GHA, NGA, TGO, BEN",0,3Day,1256515200000,Nigeria,"Ghana, Nigeria, Togo, Benin",NA,1255996800000,0,"['TO', 'GH', 'BN', 'NI', 'CM']",standard,675.0,3520983,DFO_3555_From_20091020_to_20091026,,2009-10-20,2009-10-26,6
7.93162,Heavy Rain,"['MALI', 'BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'BENIN', 'In dispute BENIN/BURKINA FASO']",-0.981038,NA,5,1.0,,0.7,0,3663,"BFA, CIV, GHA",0,3Day,1277510400000,Ghana,"Burkina Faso, Ivory Coast, Ghana",NA,1277164800000,30,"['ML', 'UV', 'TO', 'GH', 'IV', 'BN', 'UU']",standard,675.0,4488318,DFO_3663_From_20100622_to_20100626,,2010-06-22,2010-06-26,4
8.279999,Heavy Rain,"['BURKINA FASO', 'TOGO', 'GHANA', ""COTE D'IVOIRE"", 'BENIN', 'In dispute BENIN/BURKINA FASO']",-0.809999,NA,5,1.5,,0.7,2600,3747,"BFA, GHA, TGO",News,3Day,1289433600000,Ghana,"Burkina Faso, Ghana, Togo",NA,1288915200000,0,"['UV', 'TO', 'GH', 'IV', 'BN', 'UU']",standard,675.0,1919307,DFO_3747_From_20101105_to_20101111,,2010-11-05,2010-11-11,6
5.584658,Torrential Rain,"['GHANA', ""COTE D'IVOIRE""]",-0.945865,,5,1.0,,0.787,43000,3872,"CIV, GHA",News,3Day,1319846400000,Ghana,"Ivory Coast, Ghana",,1319587200000,14,"['GH', 'IV']",otsu,645.45,1352536,DFO_3872_From_20111026_to_20111029,231.66,2011-10-26,2011-10-29,3
