,Lon,Lat,DEM,slope,slope_aspect,SPI,STI,TWI,plan_curvature,general_curvature,soiltype,landcover,distance_to_river,label
0,-0.755617901237136,8.35114312305293,75.0,0.0,,86211.16406,,16.06017,0.0,0.0,WR,80.0,1200.0,1
1,-0.827842450080345,8.43199149862368,81.0,0.32814,135.0,325.29449,,12.71235,-1.53688,-1e-05,WR,90.0,400.0,1
2,-0.701718984189963,8.35329907973481,75.0,0.0,,138430.48438,,16.53367,0.0,0.0,WR,80.0,400.0,1
3,-0.815715193744731,8.44627471164118,78.0,1.91265,255.96376,492.63519,,10.92659,0.00957,1e-05,WR,90.0,800.0,1
4,-0.661833785575057,8.32338518077363,76.0,1.03755,63.43495,193675.07813,,17.00637,0.0,0.0,WR,80.0,800.0,1
5,-0.785801294783552,8.38941135415642,75.0,2.20014,161.56505,5455.35303,,11.71585,0.0,0.0,WR,80.0,800.0,1
6,-0.732710861492087,8.11668283389773,75.0,0.0,,9360.06836,,13.84132,0.0,0.0,WR,90.0,800.0,1
7,-0.810055807454779,8.40800648053769,80.0,0.0,,1970.54077,,12.28943,0.0,0.0,WR,90.0,800.0,1
8,-0.664259236842179,8.24981315900424,75.0,0.0,,28080.20508,,14.93881,0.0,0.0,WR,90.0,800.0,1
9,-0.808708334528598,8.41663030726524,81.0,5.00678,213.69006,2784.0686,0.16657,9.19468,0.02531,0.00291,WR,90.0,1600.0,1
10,-0.825955987983694,8.44169330369217,81.0,0.7337,108.43495,363.69025,8.59086,11.23005,0.0,0.00103,WR,90.0,400.0,1
11,-0.664798226012651,8.25789799656132,75.0,0.0,,2955.81128,,12.69226,0.0,0.0,WR,90.0,1600.0,1
12,-0.722470067253125,8.29966965727288,75.0,1.03755,153.43495,8945.59863,,16.0113,0.0,0.0,WR,80.0,100.0,1
13,-0.802509959068175,8.40908445887863,79.0,2.10017,263.65979,1399.14392,1.61601,9.88274,0.0173,0.00098,WR,80.0,800.0,1
14,-0.570205626594866,8.16087994587641,75.0,0.0,,55667.77344,,15.62287,0.0,0.0,WR,90.0,400.0,1
15,-0.622487576130622,8.21504835750882,75.0,0.0,,16264.72363,,16.60887,0.0,0.0,WR,90.0,100.0,1
16,-0.723548045594068,8.3193427619951,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,80.0,800.0,1
17,-0.81706266667091,8.41501333975382,81.0,0.46405,90.0,230.01791,,11.6882,-0.02179,0.0,WR,90.0,1200.0,1
18,-0.811133785795722,8.43333897154986,80.0,0.7337,108.43495,727.38049,13.02131,11.90763,-0.00015,-0.001,WR,90.0,1600.0,1
19,-0.72597349686119,8.28969835761915,76.0,0.0,,10120.78711,,14.05616,0.0,0.0,WR,90.0,800.0,1
20,-0.634345337880999,8.1457882491032,76.0,0.32814,45.0,975.88342,,13.80044,0.0,0.0,WR,90.0,400.0,1
21,-0.801970969897702,8.4050420401001,77.0,0.92804,180.0,1840.14319,,12.3579,0.0,0.0,WR,90.0,800.0,1
22,-0.734866818173973,8.39857417005444,75.0,0.0,,1970.54077,,12.28943,0.0,0.0,WR,90.0,400.0,1
23,-0.706300392138973,8.29643572225005,75.0,0.0,,126607.24219,,16.4444,0.0,0.0,WR,80.0,1200.0,1
24,-0.771248587180814,8.33685991003543,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,90.0,400.0,1
25,-0.660755807234114,8.12584564979575,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,90.0,800.0,1
26,-0.680967901126802,8.35222110139387,75.0,0.0,,29065.47656,,14.97328,0.0,0.0,WR,90.0,400.0,1
27,-0.808977829113834,8.42121171521425,81.0,2.70389,239.03624,2682.44604,,10.60259,-0.03448,-0.002,WR,80.0,2000.0,1
28,-0.789304724391616,8.39129781625307,75.0,0.0,,14779.05566,,14.29746,0.0,0.0,WR,80.0,400.0,1
29,-0.825955987983694,8.49262778030175,80.0,0.7337,251.56505,363.69025,8.59086,11.23005,0.0,0.00105,WR,90.0,400.0,1
30,-0.479655445955618,8.10617254507353,77.0,0.32814,135.0,162.64725,,12.03477,0.02672,1e-05,WR,90.0,100.0,1
31,-0.793886132340626,8.37917055991745,75.0,0.7337,18.43495,727.38049,13.02131,11.90763,0.00039,0.0,WR,90.0,400.0,1
32,-0.443543171534014,8.16626983758113,75.0,0.0,,449283.28125,,17.71087,0.0,0.0,WR,80.0,400.0,1
33,-0.789304724391616,8.40315557800345,81.0,1.67271,123.69006,1238.6842,1.36444,10.00455,0.01695,0.00204,WR,80.0,400.0,1
34,-0.636231799977651,8.14902218412603,75.0,0.0,,67491.02344,,15.81541,0.0,0.0,WR,90.0,400.0,1
35,-0.798467540289636,8.4058505238558,80.0,1.85559,270.0,3680.28638,19.38088,11.66475,0.0,0.0,WR,80.0,1200.0,1
36,-0.607934868527886,8.21289240082693,75.0,0.0,,954727.0,,18.46463,0.0,0.0,WR,80.0,100.0,1
37,-0.586105807123781,8.12800160647764,75.0,0.0,,87196.42969,,16.07153,0.0,0.0,WR,90.0,400.0,1
38,-0.72273956183836,8.38294348411076,77.0,0.32814,225.0,1138.53064,,13.95384,0.0,0.0,WR,90.0,800.0,1
39,-0.844012125194496,8.46999023514194,81.0,0.0,,492.63519,,10.92659,0.02305,1e-05,WR,90.0,800.0,1
40,-0.752922955384776,8.33147001833071,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,80.0,1600.0,1
41,-0.660216818063642,8.31395287029038,75.0,0.0,,62072.03125,,15.73174,0.0,0.0,WR,80.0,2000.0,1
42,-0.714654724281285,8.29050684137486,75.0,0.0,,83255.35156,,16.02529,0.0,0.0,WR,80.0,1600.0,1
43,-0.810055807454779,8.48373445898897,81.0,0.46405,0.0,690.05371,,12.766,-4.1602,-1e-05,WR,90.0,1200.0,1
44,-0.804665915750061,8.40423355634439,76.0,0.92804,180.0,4140.32227,,13.16442,0.0,0.0,WR,90.0,400.0,1
45,-0.772057070936523,8.07302471108952,81.0,1.18295,168.69006,11728.6582,33.25538,13.71824,-3e-05,-0.00056,WR,90.0,800.0,1
46,-0.563468261963969,8.23606893515722,75.0,0.0,,152716.90625,,16.63187,0.0,0.0,WR,80.0,400.0,1
47,-0.376439019810284,8.17812759933151,75.0,0.0,,34977.09766,,15.15833,0.0,0.0,WR,90.0,400.0,1
48,-0.842934146853553,8.44438824954453,75.0,0.0,,5911.62256,,13.38276,0.0,0.0,WR,80.0,400.0,1
49,-0.673691547325435,8.26517435036269,75.0,0.0,,31036.01563,,15.03884,0.0,0.0,WR,90.0,1200.0,1
50,-0.84374263060926,8.47079871889765,81.0,0.0,,492.63519,,10.92659,0.0,0.0,WR,90.0,800.0,1
51,-0.80601338867624,8.42498463940755,80.0,3.29412,39.28941,7867.8208,,11.71325,0.00086,-0.00092,WR,90.0,3000.0,1
52,-0.764241727964682,8.12476767145481,80.0,0.92804,180.0,18861.46875,,14.67801,0.01347,0.0,WR,90.0,800.0,1
53,-0.793347143170156,8.39264528917925,75.0,0.0,,25617.03125,,14.84706,0.0,0.0,WR,90.0,100.0,1
54,-0.694981619559067,8.34575323134821,75.0,0.0,,112320.82031,,16.32469,0.0,0.0,WR,90.0,400.0,1
55,-0.731632883151144,8.39264528917925,75.0,0.0,,6404.25781,,13.4626,0.0,0.0,WR,90.0,800.0,1
56,-0.769362125084164,8.35841947685429,75.0,0.0,,8374.79785,,13.73029,0.0,0.0,WR,90.0,400.0,1
57,-0.807360861602419,8.42363716648137,79.0,4.36943,237.99461,735624.25,,15.23859,-0.035,-0.00201,WR,80.0,3000.0,1
58,-0.578020969566705,8.12961857398905,75.0,0.0,,33991.82813,,15.12977,0.0,0.0,WR,90.0,400.0,1
59,-0.711420789258455,8.31206640819373,75.0,0.0,,52711.96484,,15.56833,0.0,0.0,WR,80.0,800.0,1
60,-0.760199309186145,8.40342507258868,75.0,0.0,,152716.90625,,16.63187,0.0,0.0,WR,80.0,400.0,1
61,-0.696598587070483,8.29427976556816,75.0,0.0,,47292.98047,,15.45988,0.0,0.0,WR,80.0,100.0,1
62,-0.617636673596376,8.2983221843467,75.0,0.0,,27587.57031,,14.92112,0.0,0.0,WR,80.0,400.0,1
63,-0.691747684536237,8.3373988992059,75.0,0.0,,109857.64844,,16.30252,0.0,0.0,WR,80.0,400.0,1
