Model,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Test Accuracy,Test F1,Test Precision,Test Recall
1,0.9025304592314901,0.9018867924528302,0.867513611615245,0.9390962671905697,0.8846153846153846,0.8939179632248939,0.825065274151436,0.9753086419753086
2,0.8973172987974098,0.8975069252077563,0.8526315789473684,0.9473684210526315,0.8623063683304647,0.8738170347003155,0.8052325581395349,0.9551724137931035
3,0.8952702702702703,0.8954468802698146,0.855072463768116,0.9398230088495575,0.9375,0.9411764705882353,0.8888888888888888,1.0
4,0.8983634797588286,0.8986254295532646,0.8616144975288303,0.9389587073608617,0.8453038674033149,0.8541666666666666,0.803921568627451,0.9111111111111111
5,0.8816705336426914,0.884090909090909,0.841991341991342,0.930622009569378,0.8002385211687537,0.7902316844082656,0.8313570487483531,0.752983293556086
6,0.8980952380952381,0.8991517436380771,0.8563734290843806,0.9464285714285714,0.9005449591280654,0.9084065244667503,0.839907192575406,0.9890710382513661
7,0.8980716253443526,0.8991825613079019,0.8578856152512998,0.9446564885496184,0.8296296296296296,0.8196078431372549,0.8708333333333333,0.774074074074074
8,0.896887159533074,0.8970873786407768,0.8555555555555555,0.9428571428571428,0.7677725118483413,0.7215909090909091,0.900709219858156,0.6018957345971564
9,0.8975332068311196,0.8990654205607478,0.8498233215547704,0.9543650793650794,0.7619047619047619,0.7058823529411765,0.9230769230769231,0.5714285714285714
Overall Performance,0.8961932523893861,0.8968937823024531,0.8553846016996564,0.9426861884692678,0.843312889336524,0.8343108276916076,0.8543324452666092,0.8367827643096418
