Model,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Test Accuracy,Test F1,Test Precision,Test Recall
1,0.47703842549203374,0.6459390862944162,0.47703842549203374,1.0,0.49846153846153846,0.6652977412731006,0.49846153846153846,1.0
2,0.4745605920444033,0.64366373902133,0.4745605920444033,1.0,0.4991394148020654,0.6659012629161883,0.4991394148020654,1.0
3,0.47719594594594594,0.6460834762721555,0.47719594594594594,1.0,0.5,0.6666666666666666,0.5,1.0
4,0.5254091300602929,0.03839441535776614,0.6875,0.019748653500897665,0.5027624309392266,0.0625,0.5,0.03333333333333333
5,0.48491879350348027,0.6531250000000001,0.48491879350348027,1.0,0.49970184853905786,0.6664015904572564,0.49970184853905786,1.0
6,0.5257142857142857,0.03488372093023255,0.75,0.017857142857142856,0.49591280653950953,0.005376344086021506,0.16666666666666666,0.00273224043715847
7,0.48117539026629935,0.6497210167389956,0.48117539026629935,1.0,0.5,0.6666666666666666,0.5,1.0
8,0.5262645914396887,0.03564356435643565,0.6,0.018367346938775512,0.5082938388625592,0.041570438799076216,0.8181818181818182,0.02132701421800948
9,0.4781783681214421,0.6469833119383825,0.4781783681214421,1.0,0.5,0.6666666666666666,0.5,1.0
Overall Performance,0.4944950580653191,0.4438263701010794,0.5456186128192895,0.6728859048107574,0.5004746531271063,0.4563385975035159,0.49801680962790523,0.6730436208876112
