Model,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Test Accuracy,Test F1,Test Precision,Test Recall
1,0.8865979381443299,0.8844317096466094,0.8605947955390335,0.9096267190569745,0.86,0.8737864077669903,0.7934508816120907,0.9722222222222222
2,0.8862164662349676,0.8886877828054299,0.8293918918918919,0.9571150097465887,0.8502581755593803,0.864696734059098,0.7875354107648725,0.9586206896551724
3,0.8817567567567568,0.8765432098765431,0.8734622144112478,0.879646017699115,0.859375,0.8571428571428571,0.8709677419354839,0.84375
4,0.8914728682170543,0.8915662650602411,0.856198347107438,0.9299820466786356,0.850828729281768,0.8656716417910447,0.7837837837837838,0.9666666666666667
5,0.8735498839907193,0.8745684695051783,0.8425720620842572,0.9090909090909091,0.7328562909958258,0.7025232403718459,0.7919161676646707,0.6312649164677804
6,0.8866666666666667,0.8869895536562205,0.8506375227686703,0.9265873015873016,0.8596730245231607,0.872682323856613,0.7968397291196389,0.9644808743169399
7,0.8934802571166207,0.8921933085501859,0.8695652173913043,0.916030534351145,0.6851851851851852,0.575,0.8846153846153846,0.42592592592592593
8,0.8764591439688716,0.8787010506208213,0.8258527827648114,0.9387755102040817,0.79739336492891,0.7673469387755102,0.9009584664536742,0.6682464454976303
9,0.881404174573055,0.8826291079812207,0.8377896613190731,0.9325396825396826,0.7184873949579832,0.6378378378378378,0.8939393939393939,0.4957983193277311
Overall Performance,0.8841782395187825,0.8840344953002722,0.8495627216975252,0.922154858994937,0.8015619072702459,0.7796319979557551,0.833778551098777,0.7696640066755632
