Model,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Test Accuracy,Test F1,Test Precision,Test Recall
1,0.9128397375820057,0.9123468426013195,0.8768115942028986,0.9508840864440079,0.8876923076923077,0.8940493468795356,0.8438356164383561,0.9506172839506173
2,0.913968547641073,0.9141274238227146,0.868421052631579,0.9649122807017544,0.8709122203098106,0.8807631160572338,0.8171091445427728,0.9551724137931035
3,0.9130067567567568,0.9132266217354674,0.8713826366559485,0.95929203539823,0.90625,0.9090909090909091,0.8823529411764706,0.9375
4,0.9155900086132644,0.915807560137457,0.8780889621087314,0.9569120287253142,0.8342541436464088,0.8369565217391304,0.8191489361702128,0.8555555555555555
5,0.9095127610208816,0.910958904109589,0.87117903930131,0.9545454545454546,0.7638640429338104,0.7338709677419354,0.84,0.6515513126491647
6,0.9161904761904762,0.9165085388994308,0.8781818181818182,0.9583333333333334,0.9046321525885559,0.9116161616161617,0.8474178403755869,0.9863387978142076
7,0.9136822773186409,0.9140767824497258,0.8771929824561403,0.9541984732824428,0.8055555555555556,0.7861507128309573,0.8733031674208145,0.7148148148148148
8,0.9134241245136187,0.913170731707317,0.874766355140187,0.9551020408163265,0.8364928909952607,0.8253164556962025,0.8858695652173914,0.7725118483412322
9,0.9070208728652751,0.9071969696969696,0.8677536231884058,0.9503968253968254,0.7184873949579832,0.6228893058161351,0.9431818181818182,0.4649859943977591
Overall Performance,0.9128039513891102,0.9130467083511101,0.8737531182074465,0.9560640620715211,0.8364600787421881,0.8223003886075779,0.861357669947047,0.8098942245907171
