Model,Validation Accuracy,Validation F1,Validation Precision,Validation Recall,Test Accuracy,Test F1,Test Precision,Test Recall
1,0.47703842549203374,0.6459390862944162,0.47703842549203374,1.0,0.49846153846153846,0.6652977412731006,0.49846153846153846,1.0
2,0.4745605920444033,0.64366373902133,0.4745605920444033,1.0,0.4991394148020654,0.6659012629161883,0.4991394148020654,1.0
3,0.47719594594594594,0.6460834762721555,0.47719594594594594,1.0,0.5,0.6666666666666666,0.5,1.0
4,0.4797588285960379,0.6484284051222352,0.4797588285960379,1.0,0.4972375690607735,0.6642066420664207,0.4972375690607735,1.0
5,0.48491879350348027,0.6531250000000001,0.48491879350348027,1.0,0.49970184853905786,0.6664015904572564,0.49970184853905786,1.0
6,0.48,0.6486486486486487,0.48,1.0,0.4986376021798365,0.6654545454545454,0.4986376021798365,1.0
7,0.48117539026629935,0.6497210167389956,0.48117539026629935,1.0,0.5,0.6666666666666666,0.5,1.0
8,0.4766536964980545,0.6455862977602108,0.4766536964980545,1.0,0.5,0.6666666666666666,0.5,1.0
9,0.4781783681214421,0.6469833119383825,0.4781783681214421,1.0,0.5,0.6666666666666666,0.5,1.0
Overall Performance,0.47883111560752195,0.6475754424218194,0.47883111560752195,1.0,0.499241997004808,0.6659920498704642,0.499241997004808,1.0
